id,Valid test,Lap Shear joint substrate aluminum thickness (m),Average thickness of the adhesive layer (m),Spacer shim thickness (m),Fillet,Mixing to Applied Pressure Time (s),Temperature at sample preparation (°C),Humidity at sample preparation (%),Actual experimental test temperature (°C),Test humidity (%),Extension shift (in),Max load (N),Max strength (Pa),Extension at Max Load (m),Area under the curve to max load - Riemann Sums (N.mm),Extension at complete failure (m),Total under the curve - Riemann Sums (N.mm),Adhesive underfilled,Adhesive fill quality,Mode-of-failure,Test frame,Load cell
120,1,0.00114,0.000637,0.000762,0,2100,23.1,49,24.6,47,-0.00689,4010,12400000,0.00116,2420,0.00118,2490,0,4,1,1,1
121,1,0.00114,0.000641,0.000762,0,2100,23.1,49,24.7,46,-0.00787,3780,11700000,0.000932,1940,0.000954,2010,0,4,1,1,1
122,1,0.00114,0.000646,0.000762,0,2100,23.1,49,24.7,45,-0.00689,4280,13300000,0.00103,2340,0.00106,2440,0,4,1,1,1
123,1,0.00114,0.000715,0.000762,0,2100,23.1,49,24.8,46,-0.00886,3420,10600000,0.000789,1460,0.000815,1540,0,4,1,1,1
124,1,0.00114,0.000722,0.000762,0,2100,23.1,49,24.9,45,-0.00689,3400,10500000,0.000826,1440,0.000833,1450,0,4,1,1,1
125,1,0.00114,0.000705,0.000762,0,2100,23.1,49,24.9,45,-0.00787,2530,7850000,0.000594,714,0.000603,730,0,2,1,1,1
126,1,0.00114,0.000661,0.000762,0,2100,23.1,49,24.9,45,-0.00866,2580,8010000,0.000576,743,0.000581,749,0,3,1,1,1
127,1,0.00114,0.000628,0.000762,0,2100,23.1,49,25,44,-0.00551,3890,12100000,0.00105,2100,0.00107,2140,0,4,1,1,1
128,1,0.00114,0.000596,0.000762,0,2100,23.1,49,25,44,-0.00886,3140,9730000,0.000709,1140,0.00072,1170,0,4,1,1,1
129,1,0.00114,0.000595,0.000762,0,2100,23.1,49,25,44,-0.00787,2410,7480000,0.000536,598,0.000555,634,0,4,1,1,1
130,1,0.00114,0.000794,0.000762,0,2100,23.1,49,25.1,47,-0.0065,1170,3630000,0.000462,274,0.000464,274,0,1,1,1,1
131,1,0.00114,0.000819,0.000762,0,2100,23.1,49,25.2,46,-0.00492,992,3080000,0.000415,217,0.000448,247,0,1,1,1,1
132,1,0.00114,0.000769,0.000762,0,2100,23.1,49,25.1,46,-0.00787,1140,3540000,0.000571,382,0.00064,454,0,1,1,1,1
133,1,0.00114,0.000762,0.000762,0,2100,23.1,49,25.1,46,-0.00945,1460,4530000,0.000556,429,0.000563,436,0,1,1,1,1
134,1,0.00114,0.000764,0.000762,0,2100,23.1,49,25.1,46,-0.00453,1290,4010000,0.000513,330,0.000517,332,0,0,1,1,1
135,1,0.00114,0.000797,0.000762,0,2100,23.1,49,25.1,46,-0.00551,2460,7630000,0.000882,1070,0.000886,1070,0,3,1,1,1
136,1,0.00114,0.000763,0.000762,0,2100,23.1,49,25.2,46,-0.00886,2700,8380000,0.00081,1140,0.000814,1140,0,2,1,1,1
137,1,0.00114,0.000794,0.000762,0,2100,23.1,49,25.2,46,-0.00492,2430,7530000,0.000879,1030,0.000884,1030,0,2,1,1,1
138,1,0.00114,0.000756,0.000762,0,2100,23.1,49,25.2,46,-0.00689,1390,4320000,0.000514,365,0.000522,371,0,0,1,1,1
139,1,0.00114,0.000777,0.000762,0,2100,23.1,49,25.1,46,-0.00591,1540,4770000,0.000982,631,0.000986,632,0,1,1,1,1
140,1,0.00152,0.000632,0.000762,0,2100,23.1,49,25.1,44,-0.00787,2830,8780000,0.000515,722,0.000519,725,0,4,1,1,1
141,1,0.00152,0.000616,0.000762,0,2100,23.1,49,25.1,44,-0.00689,3330,10300000,0.000661,1070,0.000665,1070,0,4,1,1,1
142,1,0.00152,0.000602,0.000762,0,2100,23.1,49,25.1,44,-0.00886,3090,9570000,0.000556,843,0.00056,846,0,4,1,1,1
143,1,0.00152,0.000612,0.000762,0,2100,23.1,49,25.2,43,-0.00846,3250,10100000,0.000591,903,0.000596,906,0,4,1,1,1
144,1,0.00152,0.000651,0.000762,0,2100,23.1,49,25.2,44,-0.00925,2910,9030000,0.000569,805,0.000573,807,0,4,1,1,1
145,1,0.00152,0.000712,0.000762,0,2100,23.1,49,25.2,44,-0.0104,4320,13400000,0.000817,1860,0.000863,2040,0,4,1,1,1
146,1,0.00152,0.000731,0.000762,0,2100,23.1,49,25.2,43,-0.00886,3500,10900000,0.000662,1230,0.000665,1230,0,4,1,1,1
147,1,0.00152,0.00073,0.000762,0,2100,23.1,49,25.3,44,-0.0104,4310,13400000,0.000854,1990,0.000861,2000,0,4,1,1,1
148,1,0.00152,0.000728,0.000762,0,2100,23.1,49,25.2,43,-0.00689,4220,13100000,0.000847,1840,0.000851,1850,0,4,1,1,1
149,1,0.00152,0.000715,0.000762,0,2100,23.1,49,25.2,43,-0.00925,4780,14800000,0.00105,2640,0.00105,2650,0,4,1,1,1
150,1,0.00152,0.000765,0.000762,0,2100,23.1,49,25.2,43,-0.00925,2310,7170000,0.000464,499,0.000484,537,0,1,1,1,1
151,0,0.00152,0.000762,0.000762,0,2100,23.1,49,25.2,43,0,0.31,961,9.12E-06,0.00195,5.81E-05,0.00582,0,1,1,1,1
152,0,0.00152,0.000762,0.000762,0,2100,23.1,49,25.2,43,0,0.33,1020,1.31E-05,0.00277,2.39E-05,0.00393,0,1,1,1,1
153,0,0.00152,0.000762,0.000762,0,2100,23.1,49,25.2,43,0,0.17,527,4.84E-06,0.00069,3.13E-05,0.00217,0,1,1,1,1
154,1,0.00152,0.000776,0.000762,0,2100,23.1,49,25.2,43,-0.0108,2880,8920000,0.000544,791,0.000552,805,0,1,1,1,1
155,1,0.00152,0.000905,0.000762,0,2100,23.1,49,25.3,43,-0.00846,1550,4810000,0.000367,247,0.000679,264,0,2,1,1,1
156,1,0.00152,0.000778,0.000762,0,2100,23.1,49,25.3,43,-0.0112,867,2690000,0.000221,108,0.000224,109,0,0,1,1,1
157,1,0.00152,0.000773,0.000762,0,2100,23.1,49,25.3,43,-0.00945,1320,4090000,0.000289,169,0.000292,170,0,2,1,1,1
158,1,0.00152,0.000749,0.000762,0,2100,23.1,49,25.4,43,-0.0118,3120,9680000,0.000587,928,0.000589,931,0,4,1,1,1
159,1,0.00152,0.00076,0.000762,0,2100,23.1,49,25.3,43,-0.00886,2920,9040000,0.000636,928,0.000644,941,0,4,1,1,1
160,1,0.00229,0.000621,0.000762,0,2100,23.1,49,25.3,43,-0.00906,6600,20500000,0.00123,4450,0.00125,4560,0,4,1,1,1
161,1,0.00229,0.000657,0.000762,0,2100,23.1,49,25.4,43,-0.00689,5330,16500000,0.0011,3120,0.00112,3200,0,4,1,1,1
162,1,0.00229,0.00071,0.000762,0,2100,23.1,49,25.4,43,-0.00689,4700,14600000,0.000998,2530,0.00101,2550,0,4,1,1,1
163,1,0.00229,0.000689,0.000762,0,2100,23.1,49,25.4,43,-0.00689,5920,18300000,0.00125,3770,0.00126,3830,0,4,1,1,1
164,1,0.00229,0.000678,0.000762,0,2100,23.1,49,25.5,43,-0.00748,6030,18700000,0.00124,3970,0.00124,3990,0,4,1,1,1
165,1,0.00229,0.000733,0.000762,0,2100,23.1,49,25.4,43,-0.00846,3400,10500000,0.000661,1170,0.000675,1210,0,4,1,1,1
166,1,0.00229,0.000724,0.000762,0,2100,23.1,49,25.5,43,-0.00787,5080,15700000,0.00106,2820,0.00106,2820,0,4,1,1,1
167,1,0.00229,0.000721,0.000762,0,2100,23.1,49,25.5,43,-0.00591,4280,13300000,0.0008,1680,0.000808,1710,0,4,1,1,1
168,1,0.00229,0.000716,0.000762,0,2100,23.1,49,25.6,43,-0.00689,4380,13600000,0.000803,1810,0.000807,1810,0,4,1,1,1
169,1,0.00229,0.000733,0.000762,0,2100,23.1,49,25.6,43,-0.00689,5190,16100000,0.00105,2780,0.00106,2800,0,4,1,1,1
